Timestamp,Symbol,Action,Qty,Entry,Target,Stop,Confidence,Equity
2025-12-15 10:33:56,STX,BUY,345,289.44,292.33,287.99,0.5676,999836.87
2025-12-15 10:41:00,MU,BUY,411,242.75,245.18,241.54,0.5649,999050.62
2025-12-15 10:44:03,WDC,BUY,571,174.84,176.59,173.97,0.6190,998964.20
2025-12-16 10:00:06,MU,BUY,426,235.02,246.77,234.08,0.5818,1002825.09
2025-12-16 10:00:08,STX,BUY,344,291.50,306.07,290.33,0.5841,1002825.09
2025-12-16 10:19:22,STX,BUY,342,292.47,307.09,291.30,0.5524,1002828.35
2025-12-16 10:27:08,PSTG,BUY,1457,68.81,72.25,68.53,0.6986,1002829.09
2025-12-16 10:27:13,STX,BUY,343,291.96,306.56,290.79,0.6321,1002599.81
2025-12-16 10:38:18,WDC,BUY,579,172.82,181.46,172.13,0.6420,1001114.35
2025-12-16 10:47:19,PSTG,BUY,1449,68.89,72.33,68.61,0.8220,998760.50
2025-12-16 10:47:26,STX,BUY,346,287.98,302.38,286.83,0.6520,999019.49
2025-12-16 11:02:26,PSTG,BUY,1449,68.73,72.17,68.18,0.8346,996373.23
2025-12-16 11:02:28,STX,BUY,347,286.85,301.19,284.56,0.6520,996373.23
2025-12-16 11:32:36,PSTG,BUY,1452,68.42,71.84,67.87,0.8495,994016.41
2025-12-16 11:32:38,STX,BUY,351,282.56,296.69,280.30,0.6616,994006.05
2025-12-16 14:43:12,PSTG,BUY,1439,69.04,72.49,68.49,0.8056,993875.75
2025-12-16 14:46:17,WDC,BUY,570,174.19,182.90,172.80,0.5705,994111.99
2025-12-17 10:05:02,PSTG,BUY,1434,69.21,72.67,68.66,0.8511,992959.39
2025-12-17 10:11:06,WDC,BUY,563,175.96,184.76,174.55,0.6486,992050.82
2025-12-17 10:29:12,STX,BUY,341,289.84,304.33,287.52,0.7208,989803.66
2025-12-17 11:04:20,PSTG,BUY,1454,68.04,71.44,67.50,0.7452,989331.39
2025-12-17 11:04:24,WDC,BUY,582,169.90,178.40,168.54,0.6294,989149.78
2025-12-17 11:18:27,STX,BUY,354,278.50,292.43,276.27,0.5762,986946.36
2025-12-17 15:10:27,STX,BUY,355,278.05,291.95,275.83,0.5960,988770.20
2025-12-17 15:11:28,WDC,BUY,594,166.28,174.59,164.95,0.5963,988720.16
2025-12-17 15:14:32,PSTG,BUY,1478,66.89,70.23,66.35,0.5929,989248.61
2025-12-18 10:10:29,PSTG,BUY,1474,66.94,70.29,66.40,0.8457,986768.39
2025-12-18 10:23:41,STX,BUY,337,292.09,306.69,289.75,0.5717,986543.93
2025-12-18 11:19:11,STX,BUY,338,291.15,305.71,288.82,0.6454,986250.31
2025-12-18 11:42:23,PSTG,BUY,1460,67.59,70.97,67.05,0.8384,987104.98
